country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
"Congo, Democratic Republic of the",Maze,Rainy Season,20.93,2022,84.99,70.99
Czech Republic,Cotton,Rainy Season,49.43,2020,92.4,86.48
United States,Wheat,Winter,57.53,2020,47.33,90.1
"Congo, Republic of the",Apples,Rainy Season,10.76,2020,57.7,85.38
Uganda,Apples,Rainy Season,56.16,2022,19.73,67.83
Rwanda,Maze,Summer,56.78,2020,29.66,29.25
Belize,Cotton,Winter,47.26,2021,27.84,62.03
Samoa,Cotton,Fall,21.83,2022,82.5,30.38
Turkey,Apples,Spring,57.8,2022,47.25,55.13
Japan,Maze,Summer,65.25,2022,74.39,76.28
Georgia,Plam Oil,Spring,55.96,2020,65.06,36.87
Rwanda,Plam Oil,Rainy Season,46.45,2021,74.28,74.94
"Micronesia, Federated States of",Sugar Cane,Spring,65.83,2021,56.1,76.24
Togo,Paddy,Rainy Season,92.37,2020,75.71,37.27
Kyrgyzstan,Wheat,Fall,77.71,2022,65.84,34.13
Philippines,Paddy,Fall,59.62,2021,34.51,35.13
Nepal,Plam Oil,Fall,66.04,2022,50.75,59.11
Turkmenistan,Wheat,Winter,63.82,2021,23.77,67.54
Sao Tome and Principe,Apples,Spring,87.81,2022,48.17,43.86
Burundi,Plam Oil,Fall,31.55,2022,53.44,18.57
Andorra,Paddy,Winter,63.53,2021,56.53,79.34
Côte d’Ivoire,Sugar Cane,Spring,28.64,2022,39.99,85.55
Malaysia,Paddy,Fall,42.1,2021,11.8,29.51
Croatia,Wheat,Summer,11.62,2021,27.67,80.88
"Micronesia, Federated States of",Plam Oil,Winter,74.72,2021,63.41,63.39
Samoa,Sugar Cane,Rainy Season,40.47,2022,53.15,55.19
Ghana,Paddy,Summer,33.34,2022,86.77,90.1
Singapore,Cotton,Spring,47.1,2022,16.15,31.56
Oman,Cotton,Rainy Season,43.96,2022,84.39,14.62
Ethiopia,Paddy,Rainy Season,58.45,2021,10.96,44.28
Central African Republic,Wheat,Summer,42.54,2021,24.22,59.66
Barbados,Paddy,Winter,38.58,2020,48.26,32.85
Sudan,Wheat,Rainy Season,48.83,2022,65.58,79.66
Liberia,Plam Oil,Summer,91.47,2020,73.92,71.48
Chile,Plam Oil,Rainy Season,18.11,2021,55.88,73.21
Argentina,Plam Oil,Summer,68.3,2022,66.49,41.83
"Korea, South",Apples,Spring,16.51,2022,52.75,86.68
Bhutan,Cotton,Fall,69.29,2020,53.26,84.94
Madagascar,Cotton,Winter,17.43,2022,60.74,57.61
Kyrgyzstan,Apples,Rainy Season,35.34,2020,86.14,26.97
Somalia,Maze,Summer,13.04,2020,60.03,14.69
Saint Kitts and Nevis,Sugar Cane,Fall,90.12,2020,21.6,35.19
Moldova,Maze,Rainy Season,81.77,2020,83.48,63.31
Estonia,Maze,Fall,76.78,2021,55.55,20.85
"Korea, South",Wheat,Fall,51.1,2020,14.53,61.65
Russia,Cotton,Summer,46.96,2021,23.71,56.01
Taiwan,Apples,Fall,13.92,2021,44.96,65.65
Belize,Plam Oil,Rainy Season,29.22,2022,23.31,19.2
Guatemala,Paddy,Rainy Season,41.06,2021,35.44,31.51
Finland,Maze,Winter,55.44,2020,34.0,11.21
United States,Maze,Winter,90.42,2020,83.2,12.52
Guyana,Plam Oil,Summer,65.99,2022,51.24,34.13
Sweden,Plam Oil,Winter,33.04,2020,12.97,29.89
"Korea, North",Sugar Cane,Spring,44.01,2021,80.87,15.27
Bolivia,Wheat,Summer,55.27,2020,26.47,92.27
Albania,Paddy,Fall,59.43,2021,63.06,66.43
Nicaragua,Plam Oil,Summer,51.6,2021,59.97,78.85
Austria,Paddy,Summer,23.05,2022,17.78,78.32
Lebanon,Apples,Spring,20.14,2022,48.16,15.82
Vatican City,Plam Oil,Summer,14.49,2022,59.94,18.89
Sweden,Apples,Summer,13.04,2022,33.91,91.56
Jordan,Wheat,Summer,65.88,2020,17.81,34.66
United States,Apples,Fall,69.19,2022,44.54,26.93
Senegal,Sugar Cane,Summer,22.21,2020,56.46,27.83
Indonesia,Sugar Cane,Summer,15.51,2022,48.64,87.13
Madagascar,Paddy,Rainy Season,62.33,2022,34.68,73.8
Papua New Guinea,Maze,Spring,67.3,2020,43.16,21.56
France,Apples,Spring,71.61,2022,50.03,61.91
Uganda,Wheat,Fall,69.8,2021,26.4,32.33
Tanzania,Wheat,Winter,45.02,2022,17.16,18.15
Mauritania,Apples,Summer,32.37,2022,48.07,76.45
Sri Lanka,Plam Oil,Rainy Season,65.17,2020,37.78,21.82
North Macedonia,Maze,Rainy Season,68.39,2022,45.01,87.3
Sierra Leone,Apples,Rainy Season,11.17,2021,38.98,46.33
Zambia,Sugar Cane,Spring,66.59,2021,12.58,55.94
Yemen,Wheat,Spring,45.31,2022,14.34,71.5
Burkina Faso,Apples,Summer,77.92,2020,32.46,35.87
Romania,Cotton,Fall,64.0,2022,40.34,17.95
Central African Republic,Sugar Cane,Spring,81.09,2021,51.59,29.31
Panama,Cotton,Summer,12.8,2022,10.22,84.48
Belarus,Sugar Cane,Summer,30.71,2020,75.95,74.84
Austria,Plam Oil,Spring,49.28,2021,42.31,27.75
Papua New Guinea,Sugar Cane,Spring,31.63,2021,53.27,68.88
Georgia,Sugar Cane,Fall,28.59,2020,25.9,88.63
The Bahamas,Plam Oil,Spring,62.32,2020,54.43,24.29
India,Maze,Winter,46.88,2020,48.91,18.15
Ghana,Cotton,Fall,74.32,2022,78.76,85.2
Saint Vincent and the Grenadines,Plam Oil,Fall,21.11,2021,68.3,67.42
Australia,Cotton,Rainy Season,33.0,2022,29.61,92.72
Dominica,Plam Oil,Summer,43.44,2020,12.12,35.56
Niger,Plam Oil,Summer,79.24,2022,33.44,61.23
"Korea, South",Wheat,Rainy Season,42.24,2022,72.34,87.0
Belize,Wheat,Spring,75.23,2020,90.88,75.6
Belgium,Apples,Fall,28.27,2022,40.91,40.16
Ukraine,Paddy,Spring,69.29,2021,45.11,36.99
Albania,Cotton,Fall,78.54,2022,34.19,36.3
Mauritania,Apples,Summer,15.32,2021,39.35,42.03
Denmark,Apples,Summer,42.71,2020,59.54,31.02
Burkina Faso,Maze,Winter,26.62,2022,43.0,90.34
Venezuela,Apples,Summer,38.44,2020,37.63,90.64
Vietnam,Wheat,Winter,67.22,2021,11.68,31.77
Bosnia and Herzegovina,Cotton,Summer,29.95,2021,20.61,85.17
Serbia,Wheat,Winter,88.02,2021,75.39,14.62
Mongolia,Sugar Cane,Fall,57.18,2020,76.73,31.89
Iraq,Cotton,Winter,23.88,2021,63.14,62.07
New Zealand,Paddy,Rainy Season,38.56,2020,57.2,31.72
Zimbabwe,Maze,Winter,63.07,2020,52.36,86.96
Chad,Apples,Winter,54.28,2021,17.41,15.41
Honduras,Apples,Summer,21.18,2022,19.18,12.1
Barbados,Paddy,Summer,73.62,2020,29.84,22.03
Lithuania,Apples,Summer,21.9,2022,91.2,53.26
"Micronesia, Federated States of",Sugar Cane,Rainy Season,51.99,2020,84.69,41.38
Pakistan,Sugar Cane,Rainy Season,79.54,2022,42.95,69.68
Palau,Wheat,Spring,79.23,2020,11.04,35.86
Uzbekistan,Plam Oil,Spring,54.7,2022,34.54,40.1
Egypt,Sugar Cane,Fall,49.2,2022,31.98,37.04
Japan,Sugar Cane,Rainy Season,35.93,2020,28.2,62.98
Paraguay,Wheat,Summer,49.68,2022,70.35,41.73
Syria,Wheat,Fall,91.55,2021,69.31,32.33
Iceland,Cotton,Rainy Season,43.95,2021,66.23,45.75
Fiji,Apples,Summer,55.27,2020,26.04,61.91
Tanzania,Apples,Fall,82.88,2020,47.53,38.97
Guatemala,Sugar Cane,Summer,71.7,2021,15.07,24.95
Malta,Plam Oil,Rainy Season,68.72,2022,21.6,35.35
Finland,Plam Oil,Summer,47.12,2020,11.76,27.56
Tuvalu,Apples,Summer,90.1,2021,60.17,79.22
Kiribati,Apples,Rainy Season,23.31,2022,46.5,16.63
Guinea,Cotton,Rainy Season,49.14,2021,39.29,12.67
Tuvalu,Apples,Summer,69.26,2020,79.73,15.83
Papua New Guinea,Paddy,Summer,41.97,2021,72.41,85.12
Honduras,Paddy,Summer,77.07,2022,51.97,16.56
East Timor (Timor-Leste),Plam Oil,Spring,57.57,2021,50.46,57.39
Malaysia,Plam Oil,Spring,32.82,2022,23.68,11.26
Turkey,Plam Oil,Summer,69.22,2021,28.99,12.99
Niger,Paddy,Summer,17.54,2021,60.85,56.09
Saint Vincent and the Grenadines,Plam Oil,Spring,79.69,2022,85.62,54.32
Thailand,Sugar Cane,Rainy Season,18.46,2021,15.71,84.01
Guinea,Plam Oil,Spring,81.4,2022,62.53,67.62
Malawi,Paddy,Rainy Season,48.93,2022,58.21,40.44
Zimbabwe,Apples,Fall,51.54,2020,72.82,70.09
Norway,Wheat,Fall,91.63,2022,68.37,84.41
Barbados,Sugar Cane,Summer,58.83,2021,67.04,63.47
Turkmenistan,Sugar Cane,Fall,47.98,2022,84.93,24.6
Portugal,Cotton,Fall,81.6,2020,34.0,63.85
Ecuador,Apples,Rainy Season,50.75,2022,51.71,14.1
Armenia,Cotton,Summer,92.13,2020,28.38,25.93
Tajikistan,Cotton,Rainy Season,92.32,2022,29.41,16.38
Jamaica,Maze,Summer,55.88,2022,23.66,19.41
Cambodia,Maze,Spring,78.39,2022,76.52,35.24
"Korea, South",Maze,Fall,67.21,2021,44.24,87.12
Mauritania,Cotton,Rainy Season,59.24,2021,71.14,57.0
Jordan,Maze,Fall,61.36,2021,54.13,86.42
Kazakhstan,Wheat,Rainy Season,58.55,2020,82.8,88.17
Nicaragua,Apples,Fall,64.0,2022,63.25,86.12
Peru,Cotton,Spring,38.28,2022,22.01,57.6
Israel,Apples,Spring,54.43,2020,32.53,81.93
Costa Rica,Apples,Rainy Season,27.38,2022,44.62,19.52
Bhutan,Sugar Cane,Rainy Season,80.16,2020,18.36,88.73
Georgia,Paddy,Fall,89.41,2022,49.3,62.44
Estonia,Apples,Winter,44.27,2022,70.07,92.64
Vanuatu,Plam Oil,Summer,30.75,2022,93.02,64.8
Sudan,Plam Oil,Fall,67.81,2022,66.76,80.37
United Arab Emirates,Cotton,Spring,50.2,2022,88.12,63.56
Niger,Maze,Summer,25.11,2022,85.17,66.73
Costa Rica,Paddy,Rainy Season,28.2,2020,12.15,24.35
Comoros,Paddy,Fall,70.2,2021,38.55,80.78
Kenya,Wheat,Summer,59.36,2021,75.57,63.66
Solomon Islands,Plam Oil,Rainy Season,38.49,2022,67.83,17.43
Kuwait,Apples,Summer,19.73,2022,14.5,65.33
Vietnam,Paddy,Rainy Season,86.93,2021,17.88,18.16
Tonga,Plam Oil,Summer,86.55,2021,40.44,75.21
Ghana,Wheat,Fall,71.66,2022,55.07,36.56
Suriname,Sugar Cane,Summer,35.74,2021,77.69,24.48
Bangladesh,Cotton,Spring,27.36,2022,58.15,66.37
Japan,Sugar Cane,Fall,74.97,2020,26.69,81.23
Malawi,Plam Oil,Summer,73.78,2020,22.44,38.85
United States,Maze,Winter,40.0,2021,67.96,36.9
China,Apples,Summer,81.42,2022,62.21,62.67
Saudi Arabia,Plam Oil,Summer,15.27,2022,44.78,27.49
Chad,Plam Oil,Summer,84.64,2021,82.95,21.7
Pakistan,Sugar Cane,Winter,89.35,2020,70.25,26.57
Estonia,Apples,Spring,17.02,2022,43.31,50.27
Guinea-Bissau,Sugar Cane,Winter,11.57,2020,63.52,58.32
Dominican Republic,Plam Oil,Rainy Season,41.65,2020,31.6,73.53
Slovenia,Paddy,Fall,60.2,2021,25.17,48.21
Malawi,Cotton,Summer,65.4,2022,30.54,46.35
Japan,Maze,Winter,22.43,2022,90.93,11.43
Cambodia,Wheat,Spring,91.66,2020,55.24,56.4
Saint Lucia,Maze,Winter,36.55,2020,82.21,63.18
Sudan,Wheat,Winter,38.74,2021,92.29,68.46
Ukraine,Paddy,Winter,14.07,2022,53.95,55.86
Mozambique,Wheat,Spring,55.27,2022,49.33,49.29
Jordan,Plam Oil,Winter,63.72,2021,88.16,34.59
Côte d’Ivoire,Plam Oil,Winter,31.76,2020,63.1,77.71
Lithuania,Plam Oil,Rainy Season,48.21,2021,90.47,73.73
Kosovo,Wheat,Summer,24.91,2021,92.71,56.42
China,Plam Oil,Fall,27.16,2020,80.84,62.46
Vatican City,Apples,Rainy Season,47.32,2020,66.48,61.4
Iran,Paddy,Spring,81.05,2020,66.76,74.92
Botswana,Sugar Cane,Winter,32.42,2020,42.19,25.14
Bosnia and Herzegovina,Sugar Cane,Fall,90.56,2021,23.72,13.81
Fiji,Maze,Spring,23.93,2020,75.0,59.69
Chile,Maze,Summer,44.82,2022,32.84,71.04
Yemen,Apples,Rainy Season,25.1,2021,80.92,26.76
Mauritania,Wheat,Spring,85.18,2022,65.94,86.62
Suriname,Sugar Cane,Winter,67.23,2020,12.17,50.11
Liberia,Cotton,Summer,46.8,2022,63.61,35.22
Argentina,Cotton,Fall,54.52,2020,52.99,78.56
Djibouti,Wheat,Rainy Season,13.54,2022,66.23,14.47
Uzbekistan,Plam Oil,Spring,31.01,2021,29.81,11.5
United Arab Emirates,Paddy,Rainy Season,76.3,2021,83.12,10.68
Turkey,Plam Oil,Fall,44.66,2021,85.98,29.11
Serbia,Paddy,Rainy Season,16.48,2021,47.11,72.44
Mexico,Wheat,Winter,77.96,2021,81.57,74.06
Lesotho,Maze,Winter,78.82,2020,43.9,59.33
Guinea-Bissau,Paddy,Summer,86.81,2021,16.29,32.48
Chile,Plam Oil,Summer,64.5,2022,64.73,77.57
Indonesia,Plam Oil,Summer,23.79,2022,54.29,72.37
Latvia,Cotton,Spring,22.13,2021,17.26,41.97
Portugal,Wheat,Rainy Season,20.87,2022,56.31,71.89
Montenegro,Maze,Winter,69.0,2020,75.25,54.05
Azerbaijan,Apples,Fall,76.21,2020,91.33,19.77
Sweden,Wheat,Rainy Season,13.48,2022,70.01,69.07
Spain,Maze,Winter,16.94,2021,73.55,12.97
Vatican City,Apples,Summer,73.39,2020,29.18,58.66
Kenya,Cotton,Rainy Season,44.18,2021,76.45,23.77
Greece,Plam Oil,Rainy Season,76.53,2021,85.75,16.14
Mongolia,Maze,Summer,92.55,2022,33.93,88.15
Bhutan,Paddy,Spring,78.96,2021,66.73,77.64
Saudi Arabia,Maze,Rainy Season,61.7,2020,55.85,52.38
Suriname,Cotton,Summer,14.23,2020,58.87,54.7
New Zealand,Plam Oil,Spring,12.45,2022,28.31,67.63
Guinea-Bissau,Plam Oil,Fall,55.24,2020,92.91,46.55
Sao Tome and Principe,Maze,Summer,88.73,2022,53.54,66.71
Libya,Wheat,Fall,60.85,2021,13.18,12.61
Laos,Wheat,Rainy Season,14.86,2021,54.16,33.6
Myanmar (Burma),Sugar Cane,Spring,43.93,2021,80.37,34.74
Tanzania,Sugar Cane,Winter,83.92,2021,30.4,51.61
Moldova,Sugar Cane,Spring,63.09,2021,89.41,35.56
Syria,Maze,Spring,72.93,2020,60.81,83.09
Andorra,Wheat,Spring,64.34,2022,49.24,60.62
Vanuatu,Wheat,Rainy Season,29.37,2020,84.87,20.37
Mozambique,Plam Oil,Fall,85.62,2021,24.91,46.4
Slovenia,Wheat,Summer,32.36,2020,85.95,59.83
El Salvador,Cotton,Winter,47.85,2022,23.43,27.22
Zambia,Paddy,Spring,63.22,2022,22.92,91.52
San Marino,Apples,Summer,81.85,2020,14.0,58.42
Taiwan,Paddy,Rainy Season,75.35,2021,84.63,81.17
Dominica,Plam Oil,Summer,14.39,2021,21.99,90.86
Vanuatu,Cotton,Spring,59.01,2022,49.46,53.43
Côte d’Ivoire,Apples,Summer,26.78,2021,12.7,85.03
Lithuania,Wheat,Summer,38.09,2022,67.7,89.32
Ghana,Sugar Cane,Winter,52.35,2022,40.83,67.28
Cambodia,Paddy,Winter,89.87,2020,63.63,66.2
Maldives,Paddy,Rainy Season,28.36,2022,71.34,50.73
Croatia,Wheat,Fall,62.41,2020,27.75,15.79
Malaysia,Plam Oil,Spring,10.96,2021,42.5,45.4
Sierra Leone,Plam Oil,Summer,47.97,2021,91.94,88.36
Eritrea,Plam Oil,Winter,23.56,2021,62.0,19.55
Guatemala,Maze,Spring,16.56,2021,31.77,15.58
Bolivia,Sugar Cane,Summer,43.93,2022,22.25,27.47
Mexico,Plam Oil,Winter,39.23,2022,92.69,15.57
Norway,Plam Oil,Spring,88.45,2022,88.23,30.15
El Salvador,Sugar Cane,Rainy Season,33.82,2021,62.21,39.44
Burundi,Paddy,Winter,64.13,2020,25.96,85.53
Panama,Sugar Cane,Summer,90.93,2020,67.66,76.7
Indonesia,Maze,Winter,64.29,2020,23.35,15.88
Brunei,Sugar Cane,Summer,21.95,2021,27.5,75.26
Czech Republic,Apples,Fall,22.67,2022,20.8,75.98
Lithuania,Cotton,Rainy Season,91.47,2020,49.78,92.62
Antigua and Barbuda,Sugar Cane,Spring,50.09,2020,29.37,73.11
Guatemala,Cotton,Rainy Season,65.01,2020,58.76,63.67
United Kingdom,Maze,Summer,33.65,2021,16.55,65.44
Lesotho,Apples,Spring,56.9,2022,16.44,34.72
Saint Lucia,Apples,Winter,63.65,2020,35.03,28.47
Belize,Maze,Spring,67.75,2022,59.25,83.23
Dominican Republic,Paddy,Rainy Season,14.34,2020,81.02,84.49
Canada,Cotton,Summer,73.24,2022,50.61,36.41
Guinea,Apples,Spring,46.1,2022,21.41,63.04
Zimbabwe,Cotton,Winter,19.81,2022,57.36,39.08
Haiti,Maze,Fall,63.16,2022,89.56,17.25
Benin,Sugar Cane,Fall,25.95,2021,74.95,89.16
Grenada,Maze,Fall,54.32,2021,92.36,23.98
Peru,Plam Oil,Spring,11.85,2022,16.84,69.77
Ecuador,Apples,Spring,54.32,2020,70.75,22.8
Bhutan,Cotton,Fall,76.1,2020,50.4,85.52
Greece,Apples,Fall,49.43,2021,84.33,23.56
Sao Tome and Principe,Wheat,Spring,25.49,2020,72.14,19.16
Mauritius,Paddy,Summer,82.78,2022,27.72,70.43
Algeria,Apples,Spring,92.79,2022,23.62,70.88
"Micronesia, Federated States of",Apples,Rainy Season,12.06,2021,80.03,30.13
Burundi,Paddy,Winter,57.13,2022,17.85,34.94
Madagascar,Wheat,Spring,23.32,2021,47.32,11.03
Denmark,Plam Oil,Winter,66.36,2021,55.34,65.06
Pakistan,Sugar Cane,Summer,22.8,2021,89.44,26.96
Honduras,Maze,Winter,68.59,2022,36.4,64.88
East Timor (Timor-Leste),Sugar Cane,Summer,37.87,2020,42.36,21.62
Japan,Maze,Spring,92.64,2020,29.33,59.33
Vatican City,Cotton,Rainy Season,44.98,2020,40.13,46.66
New Zealand,Paddy,Summer,84.16,2020,23.78,14.43
Cameroon,Apples,Summer,34.2,2021,77.11,46.3
"Korea, North",Paddy,Spring,31.9,2022,54.67,46.64
Belgium,Maze,Summer,23.58,2022,42.72,38.8
Vietnam,Sugar Cane,Winter,53.83,2022,73.66,50.07
Liechtenstein,Paddy,Winter,34.66,2021,53.08,10.88
France,Paddy,Rainy Season,81.91,2021,44.08,69.02
Kazakhstan,Cotton,Spring,37.05,2021,38.83,90.33
Canada,Maze,Fall,13.19,2020,58.14,76.59
"Korea, South",Plam Oil,Fall,88.1,2021,86.56,58.91
Ukraine,Paddy,Spring,37.11,2020,65.87,38.39
Paraguay,Wheat,Rainy Season,46.56,2020,92.74,86.72
Antigua and Barbuda,Paddy,Fall,87.87,2022,58.99,19.99
New Zealand,Wheat,Rainy Season,91.91,2020,81.62,23.17
Vanuatu,Apples,Spring,31.11,2022,75.61,42.54
Bhutan,Maze,Spring,59.22,2022,84.67,46.53
Kosovo,Wheat,Spring,80.96,2021,65.65,41.2
Yemen,Plam Oil,Winter,23.61,2021,68.73,62.23
Costa Rica,Paddy,Summer,88.11,2021,55.4,37.64
Slovakia,Apples,Winter,10.86,2020,16.62,48.99
Tuvalu,Wheat,Fall,31.56,2022,12.6,44.22
Syria,Apples,Rainy Season,65.83,2022,26.38,54.54
Brunei,Maze,Summer,77.71,2022,42.29,55.95
South Africa,Cotton,Rainy Season,11.31,2021,66.04,69.68
Bosnia and Herzegovina,Wheat,Summer,82.14,2020,30.01,90.56
Bosnia and Herzegovina,Wheat,Summer,86.4,2022,50.03,31.17
"Congo, Democratic Republic of the",Paddy,Winter,23.93,2022,80.42,60.38
Egypt,Sugar Cane,Spring,86.84,2021,26.94,17.49
Trinidad and Tobago,Paddy,Rainy Season,70.41,2022,85.24,14.26
Brazil,Wheat,Rainy Season,81.3,2020,51.7,81.4
Iraq,Cotton,Rainy Season,11.77,2021,50.67,91.88
Iceland,Cotton,Rainy Season,17.33,2021,69.13,20.54
Slovenia,Wheat,Winter,49.13,2021,39.13,55.38
Seychelles,Sugar Cane,Winter,19.08,2022,92.5,21.69
Malta,Plam Oil,Fall,82.71,2022,79.68,13.71
Bahrain,Cotton,Rainy Season,88.17,2021,33.56,61.65
Mauritania,Maze,Spring,85.07,2020,21.79,15.84
Malaysia,Cotton,Winter,67.46,2020,53.48,75.83
Malta,Plam Oil,Winter,82.76,2020,40.49,10.53
Nepal,Paddy,Winter,54.38,2020,16.25,30.84
"Korea, North",Plam Oil,Fall,54.04,2022,85.92,54.56
Iraq,Plam Oil,Fall,14.08,2022,71.85,46.32
Haiti,Paddy,Fall,78.38,2022,88.24,73.58
Denmark,Maze,Winter,55.33,2022,76.62,64.85
Saint Lucia,Plam Oil,Summer,17.64,2022,21.3,74.0
Bahrain,Cotton,Summer,54.73,2020,36.85,59.84
Malta,Wheat,Summer,85.71,2020,43.37,11.56
Afghanistan,Maze,Rainy Season,34.73,2022,70.79,42.73
Latvia,Paddy,Summer,35.75,2022,58.54,23.65
Argentina,Plam Oil,Spring,80.84,2022,73.55,13.04
Armenia,Wheat,Rainy Season,48.81,2020,48.64,10.72
Vietnam,Wheat,Winter,40.52,2020,29.29,53.53
Qatar,Cotton,Spring,80.11,2021,88.65,79.98
Ethiopia,Plam Oil,Fall,81.26,2022,33.8,81.72
Spain,Paddy,Winter,74.65,2021,53.44,16.37
Qatar,Wheat,Summer,83.68,2020,65.52,41.36
Romania,Apples,Spring,56.34,2022,80.31,87.86
Latvia,Cotton,Rainy Season,17.24,2021,74.36,81.39
United States,Cotton,Spring,11.11,2021,53.89,33.31
Haiti,Maze,Fall,92.97,2020,48.03,88.28
Slovakia,Maze,Rainy Season,51.35,2020,86.51,69.85
Saudi Arabia,Sugar Cane,Summer,65.02,2021,76.72,45.88
Brazil,Maze,Fall,76.95,2021,81.1,58.26
Antigua and Barbuda,Wheat,Summer,81.22,2020,35.4,76.09
Gabon,Paddy,Rainy Season,71.01,2021,30.44,90.48
Canada,Paddy,Spring,64.38,2020,56.17,57.62
Belarus,Cotton,Spring,54.39,2020,77.73,73.77
Zimbabwe,Sugar Cane,Spring,30.04,2022,43.08,90.17
Pakistan,Apples,Spring,38.43,2020,48.75,62.15
Ireland,Paddy,Rainy Season,88.84,2021,91.43,89.43
Seychelles,Plam Oil,Winter,34.29,2021,42.19,88.41
Chile,Wheat,Winter,11.0,2022,84.27,73.06
Jamaica,Apples,Winter,42.83,2020,75.45,21.02
Madagascar,Wheat,Winter,59.5,2020,67.8,52.05
Panama,Apples,Winter,80.21,2020,28.42,40.03
Kiribati,Maze,Fall,28.51,2021,75.19,69.55
Tuvalu,Cotton,Fall,87.22,2022,90.93,87.04
Kazakhstan,Maze,Fall,39.44,2022,50.33,72.46
"Micronesia, Federated States of",Maze,Winter,23.9,2021,74.65,68.09
Gabon,Maze,Spring,58.96,2021,74.75,36.78
Latvia,Wheat,Summer,49.34,2020,82.74,88.41
Sudan,Cotton,Fall,71.4,2022,39.27,56.11
Syria,Plam Oil,Winter,40.78,2021,12.71,54.44
Namibia,Wheat,Winter,22.11,2021,46.81,83.06
Saint Lucia,Plam Oil,Fall,29.73,2020,19.0,82.0
Mongolia,Plam Oil,Fall,82.43,2020,24.71,21.49
Equatorial Guinea,Sugar Cane,Spring,11.15,2020,53.89,92.34
Pakistan,Plam Oil,Rainy Season,79.4,2021,89.26,73.61
Cameroon,Maze,Summer,12.91,2022,89.99,81.45
Latvia,Cotton,Spring,28.48,2021,23.07,50.27
Grenada,Maze,Rainy Season,33.8,2020,75.94,19.16
Peru,Sugar Cane,Rainy Season,51.0,2021,41.24,83.87
Thailand,Wheat,Spring,88.53,2022,11.28,71.82
Colombia,Sugar Cane,Fall,74.64,2020,12.51,29.54
Tonga,Wheat,Rainy Season,22.91,2021,10.57,36.4
Haiti,Maze,Winter,89.57,2022,89.22,23.37
Sweden,Paddy,Summer,65.91,2020,75.12,48.06
Qatar,Paddy,Fall,35.17,2020,12.39,18.16
Uruguay,Plam Oil,Rainy Season,24.57,2020,49.92,92.18
Dominica,Cotton,Fall,43.07,2020,90.56,37.65
Latvia,Wheat,Rainy Season,22.21,2020,44.93,74.27
Jordan,Paddy,Summer,85.33,2021,51.79,42.9
Netherlands,Cotton,Summer,25.67,2020,59.72,10.47
Trinidad and Tobago,Paddy,Rainy Season,66.9,2020,48.37,16.16
Uruguay,Cotton,Spring,33.32,2020,24.45,63.24
Jamaica,Maze,Winter,77.37,2022,78.81,47.13
Portugal,Apples,Fall,54.81,2020,74.3,31.72
Honduras,Plam Oil,Fall,72.43,2022,30.5,21.95
Armenia,Plam Oil,Rainy Season,76.14,2022,68.85,60.7
Grenada,Plam Oil,Summer,16.16,2020,76.65,44.34
Algeria,Cotton,Winter,64.04,2021,46.53,67.57
Finland,Cotton,Summer,21.3,2020,82.97,40.1
Togo,Cotton,Fall,38.85,2021,58.18,74.18
"Korea, North",Wheat,Rainy Season,13.77,2021,67.0,61.68
"Korea, North",Cotton,Rainy Season,11.46,2021,55.03,39.98
Greece,Maze,Fall,42.45,2021,37.37,54.81
Latvia,Sugar Cane,Winter,44.48,2020,63.71,16.07
Sudan,Apples,Fall,30.57,2021,42.3,66.06
Portugal,Maze,Fall,85.49,2021,92.19,11.22
Uruguay,Wheat,Rainy Season,90.39,2020,12.52,17.66
The Bahamas,Maze,Winter,43.97,2021,51.46,34.28
Paraguay,Maze,Rainy Season,32.57,2021,84.2,92.39
Costa Rica,Sugar Cane,Winter,90.65,2022,63.06,76.05
Madagascar,Plam Oil,Winter,53.03,2021,38.42,26.85
Kazakhstan,Apples,Spring,48.62,2020,50.97,82.04
Guyana,Paddy,Summer,53.07,2022,44.95,37.12
United Arab Emirates,Wheat,Rainy Season,87.09,2022,44.07,70.88
Russia,Paddy,Winter,30.44,2021,77.77,50.07
Botswana,Cotton,Winter,22.73,2022,45.05,16.34
Montenegro,Apples,Summer,71.22,2021,84.02,10.7
Thailand,Cotton,Spring,45.37,2021,29.62,35.74
Italy,Sugar Cane,Winter,40.86,2022,14.62,36.82
Hungary,Maze,Winter,19.1,2020,59.8,83.51
South Africa,Paddy,Rainy Season,29.98,2020,48.29,93.06
Belarus,Wheat,Rainy Season,30.92,2020,15.35,86.93
Nauru,Paddy,Fall,49.54,2020,10.85,57.05
Mexico,Maze,Spring,12.04,2020,86.8,34.38
Brunei,Cotton,Spring,85.83,2020,24.58,88.75
"Korea, South",Maze,Spring,51.18,2021,33.13,55.14
Brunei,Apples,Summer,89.47,2022,21.86,22.26
Burundi,Plam Oil,Summer,22.74,2021,59.36,55.85
Seychelles,Plam Oil,Summer,12.87,2020,13.93,26.44
Equatorial Guinea,Wheat,Fall,40.94,2022,78.93,68.11
Sierra Leone,Wheat,Rainy Season,14.62,2022,38.03,33.84
Kazakhstan,Plam Oil,Rainy Season,54.53,2022,17.35,24.56
Austria,Plam Oil,Rainy Season,30.34,2020,65.36,23.66
Colombia,Sugar Cane,Summer,15.79,2022,83.89,52.82
Russia,Paddy,Spring,59.4,2021,45.24,20.14
"Congo, Republic of the",Apples,Winter,79.51,2022,91.15,50.15
Japan,Wheat,Fall,92.14,2022,50.32,23.42
